cycle,mean(grassland_biomass),min(grassland_biomass),max(grassland_biomass)
0,0.550769472361796,0.4,0.7
1,0.5503260050251458,0.001,0.701
2,0.5490161746231355,0.002,0.701
3,0.5483994974874573,0.002,0.701
4,0.5474093907035374,0.002,0.701
5,0.5464225816583111,0.002,0.701
6,0.5456893844221302,0.002,0.701
7,0.545084484924643,0.002,0.701
8,0.544356783919618,0.002,0.701
9,0.5438817525125832,0.003,0.701
10,0.5429695351758996,0.002,0.701
11,0.5416224874372062,0.002,0.701
12,0.5411562500000197,0.002,0.701
13,0.5406290829145932,0.002,0.701
14,0.5400417713568043,0.002,0.701
15,0.5394569723618291,0.003,0.701
16,0.5393128140703718,0.004,0.701
17,0.5386684987437383,0.002,0.701
18,0.5382143530150949,0.003,0.701
19,0.537699120603034,0.002,0.701
20,0.5368103015075575,0.002,0.701
21,0.535987437185949,0.002,0.701
22,0.5351673994975068,0.002,0.701
23,0.5347256595477577,0.002,0.701
24,0.5341606469849437,0.003,0.701
25,0.5334725188442399,0.002,0.701
26,0.5326609610552954,0.002,0.701
27,0.5322275439698683,0.002,0.701
28,0.5318583542713755,0.002,0.701
29,0.5313654208542911,0.002,0.701
30,0.5307487437186124,0.002,0.701
31,0.5303844221105716,0.002,0.701
32,0.5295204145728828,0.002,0.701
33,0.5288478329145913,0.002,0.701
34,0.528302763819114,0.002,0.701
35,0.5278222361809228,0.002,0.701
36,0.5275310929648422,0.002,0.701
37,0.5273037060301686,0.003,0.701
38,0.5268896042713754,0.002,0.701
39,0.5262262876884602,0.002,0.701
40,0.5254398555276565,0.002,0.701
41,0.5247807788944898,0.002,0.701
42,0.5243742148241386,0.002,0.701
43,0.5237814070351937,0.002,0.701
44,0.5233787688442392,0.002,0.701
45,0.5229773869346914,0.002,0.701
46,0.5226402324120784,0.002,0.701
47,0.5222419912060483,0.002,0.701
48,0.5217825062814245,0.002,0.701
49,0.5211992776382096,0.002,0.701
50,0.5209937185929827,0.003,0.701
51,0.520475816582933,0.002,0.701
52,0.519959013819113,0.002,0.701
53,0.5195686243718775,0.002,0.701
54,0.5190535489949925,0.002,0.701
55,0.5188530150753947,0.002,0.701
56,0.5182773241206209,0.002,0.701
57,0.5177658605527822,0.002,0.701
58,0.5173809673367026,0.002,0.701
59,0.5166217022613253,0.002,0.701
60,0.5162405778894659,0.002,0.701
61,0.5158605527638369,0.002,0.701
62,0.5157949120603199,0.002,0.701
63,0.515666771356802,0.002,0.701
64,0.5153511306532845,0.002,0.701
65,0.5152245603015255,0.002,0.701
66,0.5152862751256462,0.003,0.701
67,0.5152228329145916,0.002,0.701
68,0.5149718907035359,0.002,0.701
69,0.5145970477387122,0.002,0.701
70,0.514161589195997,0.002,0.701
71,0.5139786432160984,0.002,0.701
72,0.5135463253769024,0.002,0.701
73,0.5132407349246411,0.002,0.701
74,0.512309830402028,0.002,0.701
75,0.5111311243718781,0.002,0.701
76,0.5102068153266525,0.002,0.701
77,0.5094106469849444,0.002,0.701
78,0.5084921482412262,0.002,0.701
79,0.507513976130672,0.002,0.701
80,0.5071655150753965,0.002,0.701
81,0.5066929962311748,0.002,0.701
82,0.5062847047738898,0.002,0.701
83,0.5054393844221307,0.002,0.701
84,0.5049100188442417,0.002,0.701
85,0.5045075376884617,0.002,0.701
86,0.5041691268844425,0.002,0.701
87,0.503581501256302,0.002,0.701
88,0.5032463881909749,0.002,0.701
89,0.5029123743718789,0.002,0.701
90,0.502892587939718,0.003,0.701
91,0.5024973304020306,0.002,0.701
92,0.5017277010050462,0.002,0.701
93,0.5011480841708758,0.002,0.701
94,0.5004448806532862,0.002,0.701
95,0.5001824748743929,0.002,0.701
96,0.49967054020102597,0.002,0.701
97,0.4990975188442422,0.002,0.701
98,0.49883951005027194,0.002,0.701
99,0.4987704145728839,0.003,0.701
100,0.49826350502514644,0.002,0.701
101,0.49807066582916637,0.002,0.701
102,0.49756532663318703,0.002,0.701
103,0.4968737437186129,0.002,0.701
104,0.49624670226132783,0.002,0.701
105,0.4959346733668553,0.002,0.701
106,0.49568640075379106,0.002,0.701
107,0.49562719849248454,0.002,0.701
108,0.49519236809047223,0.002,0.701
109,0.4948845791457499,0.002,0.701
110,0.4945780464824332,0.002,0.701
111,0.4943354271357009,0.002,0.701
112,0.4939685929648457,0.002,0.701
113,0.4939786432161022,0.002,0.701
114,0.4939258793970056,0.002,0.701
115,0.49343530150755965,0.002,0.701
116,0.4933223932161031,0.002,0.701
117,0.493022456030172,0.002,0.701
118,0.49291174623117695,0.002,0.701
119,0.4926754082914787,0.002,0.701
120,0.4923145414573085,0.002,0.701
121,0.49170493090454426,0.002,0.701
122,0.49141048994977105,0.002,0.701
123,0.49105464824122713,0.002,0.701
124,0.490574905778917,0.002,0.701
125,0.49053548994977153,0.002,0.701
126,0.48961997487439385,0.002,0.701
127,0.48964682788946984,0.002,0.701
128,0.4894850816583134,0.002,0.701
129,0.48882286432163025,0.002,0.701
130,0.4881626884422323,0.002,0.701
131,0.4876295540201224,0.002,0.701
132,0.4872231469849455,0.002,0.701
133,0.4865672110552984,0.002,0.701
134,0.485913159547761,0.002,0.701
135,0.48563724874374065,0.002,0.701
136,0.4852372801507755,0.002,0.701
137,0.4851520100502714,0.002,0.701
138,0.484879554020122,0.002,0.701
139,0.48498429648243274,0.002,0.701
140,0.4847763819095699,0.002,0.701
141,0.48475753768846264,0.002,0.701
142,0.48436322236183016,0.002,0.701
143,0.48409500628142754,0.002,0.701
144,0.4837655464824326,0.002,0.701
145,0.48324952889449413,0.001,0.701
146,0.4828603957286629,0.002,0.701
147,0.4824101758794181,0.002,0.701
148,0.48221231155780997,0.002,0.701
149,0.4820778894472581,0.003,0.701
150,0.481755967336705,0.004,0.701
151,0.4811217022613281,0.002,0.701
152,0.48036369346735697,0.003,0.701
153,0.479608040201026,0.002,0.701
154,0.4792933417085647,0.002,0.701
155,0.4786038002512762,0.002,0.701
156,0.4785427135678597,0.003,0.701
157,0.47841959798997,0.002,0.701
158,0.4782342964824341,0.003,0.701
159,0.4780496231155991,0.002,0.701
160,0.47799089195981975,0.002,0.701
161,0.47787076005027046,0.003,0.701
162,0.47787719849248256,0.004,0.701
163,0.47769645100504576,0.002,0.701
164,0.47726617462313525,0.002,0.701
165,0.47708762562816015,0.002,0.701
166,0.47690923366835986,0.003,0.701
167,0.47648099874373967,0.004,0.701
168,0.47611730527640195,0.005,0.701
169,0.47581783919600085,0.006,0.701
170,0.4758329145728836,0.002,0.701
171,0.4755353329145927,0.003,0.701
172,0.47523900753770754,0.002,0.701
173,0.4749436243718779,0.003,0.701
174,0.4745869974874567,0.004,0.701
175,0.474419283919616,0.005,0.701
176,0.47450298366836124,0.002,0.701
177,0.47408589824122543,0.002,0.701
178,0.4740464824120811,0.003,0.701
179,0.4743208228643415,0.004,0.701
180,0.4745325062814268,0.002,0.701
181,0.47474434673368643,0.003,0.701
182,0.474705716080421,0.004,0.701
183,0.47460505653268314,0.005,0.701
184,0.47431752512564657,0.002,0.701
185,0.4739687500000193,0.002,0.701
186,0.47387233040202886,0.002,0.701
187,0.47390216708544763,0.003,0.701
188,0.4741831030150952,0.004,0.701
189,0.4742760678392154,0.002,0.701
190,0.4743695037688624,0.003,0.701
191,0.4742754396985113,0.004,0.701
192,0.4743702889447428,0.005,0.701
193,0.47465358040202915,0.006,0.701
194,0.47487405778896385,0.002,0.701
195,0.47509469221107326,0.003,0.701
196,0.4753153266331858,0.002,0.701
197,0.4754734610552956,0.002,0.701
198,0.4753812814070548,0.002,0.701
199,0.47560332914574754,0.003,0.701
200,0.47569959170856163,0.002,0.701
